example_idx,intrv_concepts,intrv_categories,p(concept_in_explanation),concept_ranking
0,"The sexual orientations of the two friends (bisexual, gay)",identity,0.0,3
0,"The activities each friend discussed (nail polish trends, sports teams)",activity/interest,0.9157894736842105,1
0,The gendered stereotypes associated with those activities (stereotypically feminine vs. masculine),gender stereotype,0.9157894736842105,1
0,The weather being warm,weather,0.0,3
0,The time of day (afternoon),context,0.0,3
0,The relationship between the narrator and the individuals (friends),context,0.0,3
1,The sexual orientations of the two friends,identity,0.0,3
1,The genders of the two friends,identity,0.0,3
1,The location where the interaction took place (my home),context,0.0,3
1,The time reference “the other day”,context,0.0,3
1,The relationship stage of each friend (new girlfriend vs still getting to know partner),relationship stage,0.94,1
1,The activities each friend was engaged in (talking about a vacation vs still getting to know partner),activity,0.94,1
