treatment,adjusted_kl_div,n_concepts_in_treatment,total_axiomatic_kl_div,t_value
0_G0_C4_(0101),0.3971177490006733,2,0.3475176775100408,0.7572173943478874
0_G0_C9_(1010),0.2434951613265983,2,0.5210437380010262,0.3096665812176202
0_G0_C10_(1011),0.5018309679031554,3,0.5211408124741865,0.3323962538992273
0_G0_C11_(1100),0.15039463638799636,2,0.34888361918274313,0.2856471885765024
0_G0_C1_(0010),0.5195807218551636,1,0.5195807218551636,1.0
0_G0_C14_(1111),0.868561415511067,4,0.868561415511067,0.2109710086825586
0_G0_C0_(0001),9.707447316031903e-05,1,9.707447316031903e-05,1.0
0_G0_C8_(1001),0.0029528696553531423,2,0.001560090619022958,1.254216865098644
0_G0_C12_(1101),0.3182780446015337,3,0.34898069365590345,0.31481761757097954
0_G0_C5_(0110),0.9243293287331134,2,0.8670013248920441,0.7064560634519692
0_G0_C13_(1110),0.4957884222093492,3,0.8684643410379067,0.19705984551607444
0_G0_C3_(0100),0.3474206030368805,1,0.3474206030368805,1.0
0_G0_C2_(0011),0.7793036822113353,2,0.5196777963283239,0.993689615987275
0_G0_C7_(1000),0.001463016145862639,1,0.001463016145862639,1.0
0_G0_C6_(0111),1.3476024314348862,3,0.8670983993652044,0.5364721109901919
0_G1_C2_(11),0.036885206584467464,2,0.029058164152957033,0.8869507386606569
0_G1_C0_(01),0.02896573208272457,1,0.02896573208272457,1.0
0_G1_C1_(10),9.243207023246214e-05,1,9.243207023246214e-05,1.0
1_G0_C0_(01),0.0010049203410744667,1,0.0010049203410744667,1.0
1_G0_C1_(10),0.0010825434001162648,1,0.0010825434001162648,1.0
1_G0_C2_(11),0.0029601623178497328,2,0.0020874637411907315,1.011905130377108
1_G1_C2_(11),0.986174144540613,2,1.298921525478363,0.5417687000910001
1_G1_C0_(01),0.6275100111961365,1,0.6275100111961365,1.0
1_G1_C1_(10),0.6714115142822266,1,0.6714115142822266,1.0
1_G2_C2_(11),0.00019140959027239563,2,0.00014417766215046868,0.9473466572619681
1_G2_C0_(01),7.430182449752465e-05,1,7.430182449752465e-05,1.0
1_G2_C1_(10),6.987583765294403e-05,1,6.987583765294403e-05,1.0
